concentration,E/V
2e-05,-4.00567e-05
2e-05,-4.06663e-05
2e-05,-4.12896e-05
2e-05,-4.19714e-05
2e-05,-4.26638e-05
2e-05,-4.34487e-05
2e-05,-4.43402e-05
2e-05,-4.53541e-05
2e-05,-4.65376e-05
2e-05,-4.79703e-05
2e-05,-4.9698e-05
2e-05,-5.17698e-05
2e-05,-5.41838e-05
2e-05,-5.69409e-05
2e-05,-5.99811e-05
2e-05,-6.32621e-05
2e-05,-6.66916e-05
2e-05,-7.02528e-05
2e-05,-7.39178e-05
2e-05,-7.77011e-05
2e-05,-8.15882e-05
2e-05,-8.55977e-05
2e-05,-8.97114e-05
2e-05,-9.39326e-05
2e-05,-9.82232e-05
2e-05,-0.000102578
2e-05,-0.000106977
2e-05,-0.000111409
2e-05,-0.000115859
2e-05,-0.000120318
2e-05,-0.000124769
2e-05,-0.00012922
2e-05,-0.000133641
2e-05,-0.000138035
2e-05,-0.000142432
2e-05,-0.00014679
2e-05,-0.000151132
2e-05,-0.000155431
2e-05,-0.000159701
2e-05,-0.00016397
2e-05,-0.000168194
2e-05,-0.000172409
2e-05,-0.000176601
2e-05,-0.000180785
2e-05,-0.000184947
2e-05,-0.000189097
2e-05,-0.00019325
2e-05,-0.000197407
2e-05,-0.00020156
2e-05,-0.000205706
2e-05,-0.000209847
2e-05,-0.000213526
2e-05,-0.000217593
2e-05,-0.000221591
2e-05,-0.000225575
2e-05,-0.000229437
2e-05,-0.000233209
2e-05,-0.000237001
2e-05,-0.000240733
2e-05,-0.000244467
2e-05,-0.000248143
2e-05,-0.000251721
2e-05,-0.000255211
2e-05,-0.000258612
2e-05,-0.00026188
2e-05,-0.000265032
2e-05,-0.000268094
2e-05,-0.000271061
2e-05,-0.000273909
2e-05,-0.000276611
2e-05,-0.000279185
2e-05,-0.000281614
2e-05,-0.000283907
2e-05,-0.000286036
2e-05,-0.000288003
2e-05,-0.000289809
2e-05,-0.000291412
2e-05,-0.000292822
2e-05,-0.000293939
2e-05,-0.000294852
2e-05,-0.000295363
2e-05,-0.000295448
2e-05,-0.000294924
2e-05,-0.00029341
2e-05,-0.000290339
2e-05,-0.000284492
2e-05,-0.000273601
2e-05,-0.000252904
2e-05,-0.000213963
2e-05,-0.00016478
2e-05,-0.000131313
2e-05,-0.000110059
2e-05,-9.67784e-05
2e-05,-8.80463e-05
2e-05,-8.17795e-05
2e-05,-7.70149e-05
2e-05,-7.31388e-05
2e-05,-6.98611e-05
2e-05,-6.71136e-05
2e-05,-6.46293e-05
2e-05,-6.23628e-05
2e-05,-6.03724e-05
2e-05,-5.85416e-05
2e-05,-5.69655e-05
2e-05,-5.55088e-05
2e-05,-5.41701e-05
2e-05,-5.29837e-05
2e-05,-5.19073e-05
2e-05,-5.09344e-05
2e-05,-5.00836e-05
2e-05,-4.93098e-05
2e-05,-4.86139e-05
2e-05,-4.79952e-05
2e-05,-4.7465e-05
2e-05,-4.69793e-05
2e-05,-4.65613e-05
2e-05,-4.6209e-05
2e-05,-4.59089e-05
2e-05,-4.56575e-05
2e-05,-4.54364e-05
2e-05,-4.52535e-05
2e-05,-4.51023e-05
2e-05,-4.49834e-05
2e-05,-4.48957e-05
2e-05,-4.48162e-05
2e-05,-4.47445e-05
2e-05,-4.47388e-05
2e-05,-4.47208e-05
2e-05,-4.46911e-05
2e-05,-4.46676e-05
2e-05,-4.46591e-05
2e-05,-4.46508e-05
2e-05,-4.2928e-05
2e-05,-4.15338e-05
2e-05,-4.02598e-05
2e-05,-3.91109e-05
2e-05,-3.8032e-05
2e-05,-3.7474e-05
2e-05,-3.65254e-05
2e-05,-3.56163e-05
2e-05,-3.47496e-05
2e-05,-3.39273e-05
2e-05,-3.31362e-05
2e-05,-3.23777e-05
2e-05,-3.16424e-05
2e-05,-3.09375e-05
2e-05,-3.0261e-05
2e-05,-2.96033e-05
2e-05,-2.89414e-05
2e-05,-2.83163e-05
2e-05,-2.77089e-05
2e-05,-2.71161e-05
2e-05,-2.65414e-05
2e-05,-2.59865e-05
2e-05,-2.54417e-05
2e-05,-2.49118e-05
2e-05,-2.43908e-05
2e-05,-2.38794e-05
2e-05,-2.33758e-05
2e-05,-2.28791e-05
2e-05,-2.23925e-05
2e-05,-2.19194e-05
2e-05,-2.146e-05
2e-05,-2.10079e-05
2e-05,-2.05644e-05
2e-05,-2.01247e-05
